Date,Product,Category,Region,Sales,Profit,Quantity,Customer_Segment
2026-01-05,Laptop,Electronics,North,85000,12000,5,Corporate
2026-01-08,Mobile,Electronics,South,55000,9000,10,Consumer
2026-01-12,Chair,Furniture,East,18000,4000,8,Consumer
2026-01-15,Table,Furniture,West,32000,7000,6,Corporate
2026-01-20,Headphones,Electronics,North,15000,3500,15,Consumer
2026-01-25,Monitor,Electronics,South,42000,8000,7,Corporate
2026-02-03,Laptop,Electronics,East,92000,15000,6,Corporate
2026-02-07,Mobile,Electronics,West,61000,10000,12,Consumer
2026-02-11,Chair,Furniture,North,21000,5000,10,Consumer
2026-02-16,Table,Furniture,South,35000,8000,7,Corporate
2026-02-21,Headphones,Electronics,East,17000,4000,18,Consumer
2026-02-27,Monitor,Electronics,West,46000,9000,8,Corporate
2026-03-04,Laptop,Electronics,South,98000,17000,7,Corporate
2026-03-09,Mobile,Electronics,North,59000,9500,11,Consumer
2026-03-13,Chair,Furniture,West,24000,5500,11,Consumer
2026-03-18,Table,Furniture,East,38000,9000,8,Corporate
2026-03-23,Headphones,Electronics,South,19000,4500,20,Consumer
2026-03-28,Monitor,Electronics,North,51000,10500,9,Corporate
2026-04-05,Laptop,Electronics,West,105000,19000,8,Corporate
2026-04-10,Mobile,Electronics,East,64000,11000,13,Consumer
2026-04-14,Chair,Furniture,South,26000,6000,12,Consumer
2026-04-19,Table,Furniture,North,41000,10000,9,Corporate
2026-04-24,Headphones,Electronics,West,22000,5500,22,Consumer
2026-04-29,Monitor,Electronics,East,55000,11500,10,Corporate
2026-05-03,Laptop,Electronics,North,112000,21000,9,Corporate
2026-05-08,Mobile,Electronics,South,68000,12000,14,Consumer
2026-05-13,Chair,Furniture,East,28000,6500,13,Consumer
2026-05-18,Table,Furniture,West,45000,11000,10,Corporate
2026-05-23,Headphones,Electronics,North,25000,6000,25,Consumer
2026-05-28,Monitor,Electronics,South,59000,12500,11,Corporate
2026-06-04,Laptop,Electronics,East,118000,23000,10,Corporate
2026-06-09,Mobile,Electronics,West,72000,13000,15,Consumer
2026-06-14,Chair,Furniture,North,30000,7000,14,Consumer
2026-06-19,Table,Furniture,South,48000,12000,11,Corporate
2026-06-24,Headphones,Electronics,East,27000,6500,27,Consumer
2026-06-29,Monitor,Electronics,West,63000,13500,12,Corporate
